DEBUG - debug
INFO - info
WARN - warn
ERROR - error
FATAL - fatal
INFO - 0
INFO - 1
INFO - 2
INFO - 3
INFO - 4
INFO - 5
INFO - 6
INFO - 7
INFO - 8
INFO - 9
INFO - 10
INFO - 11
INFO - 12
INFO - 13
INFO - 14
INFO - 15
INFO - 16
INFO - 17
INFO - 18
INFO - 19
INFO - 20
INFO - 21
INFO - 22
INFO - 23
INFO - 24
INFO - 25
INFO - 26
INFO - 27
INFO - 28
INFO - 29
INFO - 30
INFO - 31
INFO - 32
INFO - 33
INFO - 34
INFO - 35
INFO - 36
INFO - 37
INFO - 38
INFO - 39
INFO - 40
INFO - 41
INFO - 42
INFO - 43
INFO - 44
INFO - 45
INFO - 46
INFO - 47
INFO - 48
INFO - 49
INFO - 50
INFO - 51
INFO - 52
INFO - 53
INFO - 54
INFO - 55
INFO - 56
INFO - 57
INFO - 58
INFO - 59
INFO - 60
INFO - 61
INFO - 62
INFO - 63
INFO - 64
INFO - 65
INFO - 66
INFO - 67
INFO - 68
INFO - 69
INFO - 70
INFO - 71
INFO - 72
INFO - 73
INFO - 74
INFO - 75
INFO - 76
INFO - 77
INFO - 78
INFO - 79
INFO - 80
INFO - 81
INFO - 82
INFO - 83
INFO - 84
INFO - 85
INFO - 86
INFO - 87
INFO - 88
INFO - 89
INFO - 90
INFO - 91
INFO - 92
INFO - 93
INFO - 94
INFO - 95
INFO - 96
INFO - 97
INFO - 98
INFO - 99
